Time,CloudCover (In %),Direct_radiation (W/m²),Humidity (%H),Precipitaion (mm),SolarGeneration (MW),Surface_Pressure (hPa),Temperature (°C),ThermalGeneration (GW),Energy_Demand (GW),WindGeneration (MW),WindSpeed (km/h),USD_EGP_FX (EGP),Air_Density,BRENT_Crude_Oil_USD ($)
1/1/2022 2:30,16%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.3 °C,2.32 GW,2.38 GW,63.4 MW,13.8 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 2:45,15%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.5 °C,2.07 GW,2.13 GW,61.6 MW,13.7 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 3:00,11%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.3 °C,2.22 GW,2.29 GW,63.4 MW,13.8 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 3:15,11%,0 W/m²,94 %H,0 mm,0 MW,1010 hPa,10.1 °C,2.12 GW,2.17 GW,45.3 MW,12.8 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 3:30,11%,0 W/m²,94 %H,0 mm,0 MW,1010 hPa,10 °C,2.25 GW,2.30 GW,47.1 MW,12.9 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 3:45,11%,0 W/m²,94 %H,0 mm,0 MW,1010 hPa,9.90 °C,2.38 GW,2.44 GW,54.4 MW,13.3 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 4:00,10%,0 W/m²,94 %H,0 mm,0 MW,1010 hPa,9.90 °C,2.50 GW,2.54 GW,43.5 MW,12.7 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 4:15,11%,0 W/m²,95 %H,0 mm,0 MW,1011 hPa,9.70 °C,2.44 GW,2.50 GW,52.5 MW,13.2 km/h,15.7 EGP,1.25,$78.30 
1/1/2022 4:30,15%,0 W/m²,95 %H,0 mm,0 MW,1011 hPa,9.80 °C,2.24 GW,2.28 GW,43.5 MW,12.7 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 4:45,20%,0 W/m²,95 %H,0 mm,0 MW,1011 hPa,9.90 °C,2.43 GW,2.48 GW,47.1 MW,12.9 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 5:00,20%,0 W/m²,96 %H,0 mm,0 MW,1011 hPa,9.40 °C,2.63 GW,2.68 GW,52.5 MW,13.2 km/h,15.7 EGP,1.25,$78.30 
1/1/2022 5:15,20%,107 W/m²,96 %H,0 mm,335 MW,1012 hPa,10.1 °C,2.25 GW,2.66 GW,72.4 MW,14.3 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 5:30,20%,114 W/m²,96 %H,0 mm,358 MW,1011 hPa,9.50 °C,2.09 GW,2.51 GW,65.2 MW,13.9 km/h,15.7 EGP,1.25,$78.30 
1/1/2022 5:45,20%,22 W/m²,96 %H,0 mm,68.9 MW,1011 hPa,10.1 °C,2.55 GW,2.68 GW,61.6 MW,13.7 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 6:00,19%,227 W/m²,96 %H,0 mm,710 MW,1012 hPa,10.2 °C,2.13 GW,2.89 GW,48.9 MW,14.5 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 6:15,20%,345 W/m²,89 %H,0 mm,1.08 GW,1012 hPa,11.8 °C,1.41 GW,2.55 GW,59.9 MW,13.6 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 6:30,22%,300 W/m²,91 %H,0 mm,925 MW,1012 hPa,12.3 °C,1.97 GW,2.94 GW,45.3 MW,12.8 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 6:45,24%,362 W/m²,95 %H,0 mm,1.11 GW,1012 hPa,11.3 °C,1.75 GW,2.92 GW,67.0 MW,14 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 7:00,24%,370 W/m²,86 %H,0 mm,1.13 GW,1012 hPa,12.4 °C,1.74 GW,2.92 GW,42.1 MW,12.6 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 7:15,20%,422 W/m²,79 %H,0 mm,1.31 GW,1012 hPa,14 °C,1.84 GW,3.19 GW,44.5 MW,12.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 7:30,23%,497 W/m²,86 %H,0 mm,1.52 GW,1012 hPa,13.1 °C,1.64 GW,3.21 GW,43.9 MW,12.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 7:45,20%,434 W/m²,82 %H,0 mm,1.35 GW,1012 hPa,13.2 °C,1.65 GW,3.04 GW,44.2 MW,12.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 8:00,18%,501 W/m²,76 %H,0 mm,1.55 GW,1012 hPa,14.3 °C,1.47 GW,3.07 GW,46.6 MW,12.8 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 8:15,60%,499 W/m²,75 %H,1 mm,1.27 GW,1012 hPa,14.7 °C,2.18 GW,3.50 GW,55.7 MW,14.7 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 8:30,51%,498 W/m²,73 %H,1 mm,1.32 GW,1012 hPa,14.8 °C,2.21 GW,3.60 GW,59.9 MW,13.5 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 8:45,30%,497 W/m²,72 %H,1 mm,1.47 GW,1012 hPa,14.7 °C,2.05 GW,3.60 GW,80.0 MW,15.6 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 9:00,60%,497 W/m²,67 %H,1 mm,1.26 GW,1012 hPa,15.7 °C,1.97 GW,3.32 GW,91.5 MW,16 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 9:15,61%,442 W/m²,67 %H,1 mm,1.11 GW,1012 hPa,15.9 °C,2.17 GW,3.39 GW,99.6 MW,16.3 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 9:30,61%,482 W/m²,65 %H,1 mm,1.21 GW,1012 hPa,15.8 °C,2.56 GW,3.89 GW,119 MW,17 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 9:45,62%,476 W/m²,65 %H,1 mm,1.19 GW,1012 hPa,16 °C,2.52 GW,3.82 GW,105 MW,16.5 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 10:00,62%,363 W/m²,63 %H,1 mm,907 MW,1011 hPa,16.4 °C,2.61 GW,3.65 GW,133 MW,17.5 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 10:15,74%,450 W/m²,63 %H,1 mm,1.05 GW,1011 hPa,16.9 °C,2.62 GW,3.83 GW,166 MW,19.4 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 10:30,64%,419 W/m²,59 %H,1 mm,1.04 GW,1011 hPa,16.7 °C,2.65 GW,3.85 GW,164 MW,19.3 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 10:45,70%,489 W/m²,63 %H,1 mm,1.17 GW,1011 hPa,17 °C,2.88 GW,4.24 GW,198 MW,20.3 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 11:00,75%,505 W/m²,58 %H,1 mm,1.17 GW,1011 hPa,17.1 °C,2.94 GW,4.34 GW,239 MW,21.4 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 11:15,78%,468 W/m²,58 %H,1 mm,1.06 GW,1011 hPa,17.3 °C,2.67 GW,4.09 GW,351 MW,24.8 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 11:30,76%,492 W/m²,58 %H,1 mm,1.13 GW,1011 hPa,17.1 °C,2.66 GW,4.05 GW,259 MW,23.2 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 11:45,77%,433 W/m²,57 %H,1 mm,991 MW,1010 hPa,17.2 °C,3.27 GW,4.50 GW,242 MW,22.9 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 12:00,80%,426 W/m²,56 %H,1 mm,957 MW,1010 hPa,17.3 °C,3.00 GW,4.31 GW,358 MW,24.9 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 12:15,74%,326 W/m²,56 %H,1 mm,759 MW,1010 hPa,17.4 °C,3.30 GW,4.61 GW,552 MW,28.1 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 12:30,66%,290 W/m²,56 %H,1 mm,707 MW,1010 hPa,17.5 °C,3.24 GW,4.61 GW,664 MW,29.6 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 12:45,76%,355 W/m²,56 %H,1 mm,817 MW,1010 hPa,17.3 °C,3.40 GW,4.92 GW,705 MW,31.1 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 13:00,60%,284 W/m²,55 %H,0 mm,718 MW,1010 hPa,17.5 °C,3.60 GW,5.04 GW,720 MW,31.6 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 13:15,48%,304 W/m²,55 %H,0 mm,818 MW,1010 hPa,17.5 °C,3.32 GW,4.86 GW,723 MW,31.7 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 13:30,42%,293 W/m²,55 %H,0 mm,813 MW,1010 hPa,17.4 °C,3.44 GW,5.05 GW,797 MW,32.8 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 13:45,59%,284 W/m²,55 %H,0 mm,721 MW,1010 hPa,17.5 °C,3.44 GW,4.90 GW,734 MW,32.1 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 14:00,39%,314 W/m²,55 %H,0 mm,884 MW,1010 hPa,17.4 °C,3.34 GW,5.03 GW,806 MW,33.4 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 14:15,39%,303 W/m²,58 %H,0 mm,854 MW,1011 hPa,16.9 °C,3.28 GW,4.93 GW,796 MW,33 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 14:30,39%,248 W/m²,58 %H,0 mm,698 MW,1011 hPa,17.3 °C,3.68 GW,5.17 GW,792 MW,32.7 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 14:45,39%,287 W/m²,58 %H,0 mm,809 MW,1011 hPa,16.7 °C,3.49 GW,5.10 GW,801 MW,33.4 km/h,15.7 EGP,1.21,$78.30 
1/1/2022 15:00,39%,236 W/m²,60 %H,0 mm,666 MW,1011 hPa,16.5 °C,3.56 GW,5.01 GW,786 MW,32.5 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 15:15,37%,60 W/m²,66 %H,0 mm,171 MW,1011 hPa,16.3 °C,4.38 GW,5.34 GW,790 MW,33.4 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 15:30,37%,198 W/m²,66 %H,0 mm,565 MW,1011 hPa,16.1 °C,3.57 GW,4.93 GW,795 MW,33.8 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 15:45,39%,207 W/m²,63 %H,0 mm,584 MW,1011 hPa,16.4 °C,3.50 GW,4.87 GW,786 MW,32.8 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 16:00,36%,0 W/m²,66 %H,0 mm,0 MW,1011 hPa,15.2 °C,4.40 GW,5.20 GW,798 MW,34 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 16:15,41%,0 W/m²,67 %H,0 mm,0 MW,1012 hPa,14.9 °C,4.43 GW,5.23 GW,796 MW,33.9 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 16:30,43%,0 W/m²,67 %H,0 mm,0 MW,1012 hPa,15 °C,4.12 GW,4.92 GW,795 MW,33.9 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 16:45,44%,0 W/m²,67 %H,0 mm,0 MW,1012 hPa,15.2 °C,4.29 GW,5.08 GW,790 MW,33.5 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 17:00,47%,0 W/m²,69 %H,0 mm,0 MW,1012 hPa,14.7 °C,4.16 GW,4.95 GW,785 MW,33.3 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 17:15,30%,0 W/m²,73 %H,0 mm,0 MW,1012 hPa,14.7 °C,3.92 GW,4.64 GW,716 MW,32.3 km/h,15.7 EGP,1.22,$78.30 
1/1/2022 17:30,40%,0 W/m²,73 %H,0 mm,0 MW,1012 hPa,14.2 °C,4.12 GW,4.83 GW,703 MW,31.8 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 17:45,30%,0 W/m²,73 %H,0 mm,0 MW,1012 hPa,14 °C,4.33 GW,5.11 GW,775 MW,33 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 18:00,28%,0 W/m²,73 %H,0 mm,0 MW,1012 hPa,14 °C,4.37 GW,5.07 GW,700 MW,31.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 18:15,29%,0 W/m²,76 %H,0 mm,0 MW,1012 hPa,13.6 °C,3.83 GW,4.53 GW,696 MW,31.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 18:30,29%,0 W/m²,76 %H,0 mm,0 MW,1012 hPa,13.7 °C,3.91 GW,4.61 GW,694 MW,31.6 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 18:45,34%,0 W/m²,76 %H,0 mm,0 MW,1013 hPa,13.8 °C,3.77 GW,4.47 GW,696 MW,31.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 19:00,34%,0 W/m²,77 %H,0 mm,0 MW,1013 hPa,13.4 °C,4.10 GW,4.80 GW,692 MW,31.6 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 19:15,19%,0 W/m²,81 %H,0 mm,0 MW,1013 hPa,12.9 °C,3.96 GW,4.64 GW,679 MW,31.3 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 19:30,24%,0 W/m²,79 %H,0 mm,0 MW,1013 hPa,13.3 °C,3.74 GW,4.42 GW,671 MW,30.9 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 19:45,15%,0 W/m²,81 %H,0 mm,0 MW,1013 hPa,13.2 °C,3.97 GW,4.63 GW,666 MW,30.8 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 20:00,10%,0 W/m²,81 %H,0 mm,0 MW,1013 hPa,12.8 °C,3.68 GW,4.34 GW,661 MW,30.6 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 20:15,7%,0 W/m²,83 %H,0 mm,0 MW,1013 hPa,12.2 °C,4.03 GW,4.69 GW,666 MW,30.9 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 20:30,9%,0 W/m²,85 %H,0 mm,0 MW,1013 hPa,12.7 °C,3.59 GW,4.25 GW,658 MW,30.7 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 20:45,7%,0 W/m²,84 %H,0 mm,0 MW,1013 hPa,12.7 °C,3.52 GW,4.18 GW,662 MW,30.8 km/h,15.7 EGP,1.23,$78.30 
1/1/2022 21:00,4%,0 W/m²,85 %H,0 mm,0 MW,1013 hPa,12.1 °C,3.52 GW,4.19 GW,666 MW,31 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 21:15,5%,0 W/m²,90 %H,0 mm,0 MW,1013 hPa,12 °C,3.37 GW,4.00 GW,636 MW,30.1 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 21:30,5%,0 W/m²,86 %H,0 mm,0 MW,1013 hPa,11.8 °C,3.61 GW,4.23 GW,615 MW,29.1 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 21:45,5%,0 W/m²,90 %H,0 mm,0 MW,1013 hPa,11.6 °C,3.23 GW,3.84 GW,613 MW,29.2 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 22:00,5%,0 W/m²,90 %H,0 mm,0 MW,1013 hPa,11.4 °C,3.79 GW,4.29 GW,498 MW,27.6 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 22:15,4%,0 W/m²,93 %H,0 mm,0 MW,1013 hPa,11.2 °C,3.56 GW,4.01 GW,457 MW,26.6 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 22:30,5%,0 W/m²,93 %H,0 mm,0 MW,1013 hPa,11 °C,3.60 GW,4.05 GW,452 MW,26.5 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 22:45,5%,0 W/m²,92 %H,0 mm,0 MW,1013 hPa,10.7 °C,3.42 GW,3.91 GW,494 MW,27.5 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 23:00,3%,0 W/m²,93 %H,0 mm,0 MW,1013 hPa,10.7 °C,3.50 GW,3.94 GW,448 MW,26.4 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 23:15,3%,0 W/m²,95 %H,0 mm,0 MW,1013 hPa,10.3 °C,3.41 GW,3.74 GW,325 MW,24.7 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 23:30,3%,0 W/m²,94 %H,0 mm,0 MW,1013 hPa,10.4 °C,3.80 GW,3.91 GW,111 MW,16.9 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 23:45,3%,0 W/m²,94 %H,0 mm,0 MW,1013 hPa,10.5 °C,3.43 GW,3.69 GW,260 MW,23.5 km/h,15.7 EGP,1.24,$78.30 
1/2/2022 0:00,1%,0 W/m²,95 %H,0 mm,0 MW,1013 hPa,10.1 °C,3.83 GW,3.87 GW,41.7 MW,12.6 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 0:15,1%,0 W/m²,96 %H,0 mm,0 MW,1013 hPa,9.90 °C,3.70 GW,3.72 GW,20.1 MW,11.4 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 0:30,1%,0 W/m²,96 %H,0 mm,0 MW,1013 hPa,10 °C,3.53 GW,3.55 GW,25.5 MW,11.7 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 0:45,1%,0 W/m²,96 %H,0 mm,0 MW,1013 hPa,10 °C,3.66 GW,3.69 GW,27.3 MW,11.8 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 1:00,0%,0 W/m²,96 %H,0 mm,0 MW,1013 hPa,9.80 °C,3.69 GW,3.71 GW,14.7 MW,11.1 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 1:15,0%,0 W/m²,98 %H,0 mm,0 MW,1013 hPa,9.10 °C,3.97 GW,3.99 GW,20.1 MW,11.4 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 1:30,0%,0 W/m²,98 %H,0 mm,0 MW,1013 hPa,9.50 °C,4.10 GW,4.11 GW,16.5 MW,11.2 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 1:45,0%,0 W/m²,98 %H,0 mm,0 MW,1013 hPa,9.70 °C,3.88 GW,3.91 GW,23.7 MW,11.6 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 2:00,0%,0 W/m²,98 %H,0 mm,0 MW,1013 hPa,8.90 °C,3.78 GW,3.81 GW,34.5 MW,12.2 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 2:15,0%,0 W/m²,99 %H,0 mm,0 MW,1013 hPa,8.60 °C,4.01 GW,4.06 GW,58.0 MW,13.5 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 2:30,0%,0 W/m²,99 %H,0 mm,0 MW,1013 hPa,8.80 °C,4.09 GW,4.13 GW,41.7 MW,12.6 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 2:45,0%,0 W/m²,99 %H,0 mm,0 MW,1013 hPa,8.60 °C,4.25 GW,4.32 GW,68.8 MW,14.1 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 3:00,0%,0 W/m²,99 %H,0 mm,0 MW,1013 hPa,8.40 °C,4.37 GW,4.45 GW,70.6 MW,14.2 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 3:15,1%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.70 °C,4.12 GW,4.19 GW,68.8 MW,14.1 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 3:30,1%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.50 °C,4.13 GW,4.20 GW,68.8 MW,14.1 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 3:45,1%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.50 °C,4.03 GW,4.09 GW,61.6 MW,13.7 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 4:00,1%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.70 °C,4.04 GW,4.10 GW,56.2 MW,13.4 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 4:15,34%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.80 °C,4.12 GW,4.16 GW,41.7 MW,12.6 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 4:30,33%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.90 °C,4.37 GW,4.42 GW,45.3 MW,12.8 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 4:45,6%,0 W/m²,99 %H,0 mm,0 MW,1014 hPa,8.90 °C,4.49 GW,4.53 GW,43.5 MW,12.7 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 5:00,37%,0 W/m²,98 %H,0 mm,0 MW,1014 hPa,9 °C,4.36 GW,4.40 GW,34.5 MW,12.2 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 5:15,58%,38 W/m²,97 %H,0 mm,99.1 MW,1014 hPa,9.20 °C,4.67 GW,4.80 GW,21.9 MW,11.5 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 5:30,38%,31 W/m²,97 %H,0 mm,89.3 MW,1014 hPa,10.1 °C,4.59 GW,4.70 GW,14.7 MW,11.1 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 5:45,47%,99 W/m²,97 %H,0 mm,273 MW,1015 hPa,9.70 °C,4.35 GW,4.64 GW,18.3 MW,11.3 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 6:00,71%,150 W/m²,95 %H,0 mm,363 MW,1015 hPa,10.2 °C,4.03 GW,4.41 GW,14.7 MW,11.1 km/h,15.7 EGP,1.25,$78.30 
1/2/2022 6:15,57%,259 W/m²,92 %H,0 mm,673 MW,1015 hPa,12.2 °C,3.88 GW,4.55 GW,0 MW,6.70 km/h,15.7 EGP,1.24,$78.30 
1/2/2022 6:30,51%,229 W/m²,89 %H,0 mm,617 MW,1015 hPa,11.1 °C,4.34 GW,4.97 GW,14.7 MW,11.1 km/h,15.7 EGP,1.24,$78.30 
1/2/2022 6:45,41%,190 W/m²,93 %H,0 mm,536 MW,1015 hPa,12 °C,4.27 GW,4.81 GW,0 MW,8.80 km/h,15.7 EGP,1.24,$78.30 
1/2/2022 7:00,14%,305 W/m²,86 %H,0 mm,950 MW,1015 hPa,12.2 °C,4.10 GW,5.05 GW,0 MW,6.60 km/h,15.7 EGP,1.24,$78.30 
1/2/2022 7:15,11%,402 W/m²,79 %H,0 mm,1.25 GW,1015 hPa,13.8 °C,3.61 GW,4.85 GW,0 MW,6.60 km/h,15.7 EGP,1.23,$78.30 
1/2/2022 7:30,13%,515 W/m²,80 %H,0 mm,1.60 GW,1015 hPa,14.1 °C,3.81 GW,5.41 GW,0 MW,6.50 km/h,15.7 EGP,1.23,$78.30 
1/2/2022 7:45,13%,442 W/m²,78 %H,0 mm,1.38 GW,1015 hPa,12.8 °C,3.70 GW,5.08 GW,0 MW,6.50 km/h,15.7 EGP,1.24,$78.30 
1/2/2022 8:00,4%,553 W/m²,77 %H,0 mm,1.71 GW,1016 hPa,14.4 °C,3.38 GW,5.10 GW,0 MW,6.40 km/h,15.7 EGP,1.23,$78.30 
1/2/2022 8:15,7%,616 W/m²,69 %H,0 mm,1.90 GW,1015 hPa,15.8 °C,3.71 GW,5.61 GW,0 MW,7.40 km/h,15.7 EGP,1.22,$78.30 
1/2/2022 8:30,5%,665 W/m²,72 %H,0 mm,2.05 GW,1015 hPa,16.5 °C,3.60 GW,5.65 GW,0 MW,7.80 km/h,15.7 EGP,1.22,$78.30 
1/2/2022 8:45,5%,695 W/m²,77 %H,0 mm,2.15 GW,1015 hPa,14.4 °C,3.09 GW,5.24 GW,0 MW,6.60 km/h,15.7 EGP,1.23,$78.30 
1/2/2022 9:00,8%,761 W/m²,67 %H,0 mm,2.34 GW,1015 hPa,16.6 °C,3.61 GW,5.95 GW,0 MW,8.40 km/h,15.7 EGP,1.22,$78.30 
1/2/2022 9:15,30%,713 W/m²,64 %H,0 mm,2.10 GW,1015 hPa,16.6 °C,3.32 GW,5.42 GW,0 MW,9.10 km/h,15.7 EGP,1.22,$78.30 
1/2/2022 9:30,19%,745 W/m²,64 %H,0 mm,2.29 GW,1015 hPa,17.7 °C,3.45 GW,5.74 GW,3.25 MW,9.80 km/h,15.7 EGP,1.22,$78.30 
1/2/2022 9:45,32%,715 W/m²,62 %H,0 mm,2.08 GW,1015 hPa,17 °C,3.49 GW,5.59 GW,11.7 MW,10.9 km/h,15.7 EGP,1.22,$78.30 
1/2/2022 10:00,60%,659 W/m²,59 %H,0 mm,1.66 GW,1014 hPa,17.9 °C,4.37 GW,6.07 GW,30.9 MW,11.9 km/h,15.7 EGP,1.21,$78.30 
1/2/2022 10:15,81%,559 W/m²,57 %H,0 mm,1.26 GW,1014 hPa,18.5 °C,4.99 GW,6.28 GW,36.7 MW,12.2 km/h,15.7 EGP,1.21,$78.30 
1/2/2022 10:30,83%,619 W/m²,58 %H,0 mm,1.39 GW,1014 hPa,18.1 °C,4.71 GW,6.13 GW,32.8 MW,12 km/h,15.7 EGP,1.21,$78.30 
1/2/2022 10:45,72%,625 W/m²,57 %H,0 mm,1.47 GW,1014 hPa,18.4 °C,4.83 GW,6.34 GW,34.8 MW,12.1 km/h,15.7 EGP,1.21,$78.30 
1/2/2022 11:00,88%,554 W/m²,55 %H,0 mm,1.24 GW,1014 hPa,18.6 °C,5.19 GW,6.47 GW,36.8 MW,12.2 km/h,15.7 EGP,1.21,$78.30 
1/2/2022 11:15,91%,528 W/m²,54 %H,0 mm,1.19 GW,1014 hPa,18.8 °C,4.87 GW,6.09 GW,35.0 MW,12.1 km/h,15.7 EGP,1.21,$78.30 
